feeding_date_STD,formula,ingredient_name,dry_call_weight,dry_actual_weight,dry_call_weight_sum,dry_actual_weight_sum,Crude_Protein_%DM,aNDFom_%DM,Starch_%DM,error_CP_per_ingredient_%,error_aNDFom_per_ingredient_%,error_Starch_per_ingredient_%,total_CP_error_%,total_aNDFom_error_%,total_Starch_error_%
2025-12-16,DRYCOW,Dry,46.0,58.0,6756.0,6840.0,,,,,,,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,NOB,1356.0,1364.0,6756.0,6840.0,,,,,,,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,Non,3388.0,3424.0,6756.0,6840.0,,,,,,,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,PRO,150.0,160.0,6756.0,6840.0,,,,,,,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,SBM,196.0,198.0,6756.0,6840.0,53.17,10.92,2.17,1.0204081632653075,1.0204081632652848,1.0204081632653086,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,SOY,536.0,546.0,6756.0,6840.0,12.71,64.45,1.02,1.8656716417910457,1.8656716417910426,1.8656716417910342,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-16,DRYCOW,TCL,1084.0,1090.0,6756.0,6840.0,12.0,55.0,2.5,0.5535055350553496,0.5535055350553428,0.5535055350553453,-0.2304834432111602,1.034561674138718,0.8022726532031177
2025-12-17,DRYCOW,Dry,50.0,38.0,6602.0,6658.0,,,,,,,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,NOB,1226.0,1228.0,6602.0,6658.0,,,,,,,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,Non,3304.0,3354.0,6602.0,6658.0,,,,,,,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,PRO,152.0,160.0,6602.0,6658.0,,,,,,,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,SBM,202.0,216.0,6602.0,6658.0,53.17,10.92,2.17,6.9306930693069395,6.930693069306916,6.930693069306927,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,SOY,552.0,546.0,6602.0,6658.0,12.71,64.45,1.02,-1.086956521739119,-1.0869565217391197,-1.086956521739137,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-17,DRYCOW,TCL,1116.0,1116.0,6602.0,6658.0,12.0,55.0,2.5,0.0,0.0,0.0,1.285832726698527,-0.2357953995391709,0.6398725530018174
2025-12-18,DRYCOW,Dry,52.0,58.0,6774.0,7246.0,,,,,,,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,NOB,1234.0,1250.0,6774.0,7246.0,,,,,,,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,Non,3486.0,3538.0,6774.0,7246.0,,,,,,,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,PRO,154.0,160.0,6774.0,7246.0,,,,,,,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,SBM,204.0,216.0,6774.0,7246.0,53.17,10.92,2.17,5.882352941176478,5.882352941176477,5.882352941176465,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,SOY,556.0,928.0,6774.0,7246.0,12.71,64.45,1.02,66.90647482014388,66.90647482014387,66.90647482014388,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-18,DRYCOW,TCL,1088.0,1096.0,6774.0,7246.0,12.0,55.0,2.5,0.7352941176470649,0.7352941176470551,0.7352941176470562,9.974438993829962,25.07249094705843,11.407582175987978
2025-12-19,DRYCOW,Dry,50.0,136.0,6222.0,6406.0,,,,,,,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,NOB,1206.0,1222.0,6222.0,6406.0,,,,,,,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,Non,3140.0,3206.0,6222.0,6406.0,,,,,,,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,PRO,150.0,160.0,6222.0,6406.0,,,,,,,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,SBM,198.0,216.0,6222.0,6406.0,53.17,10.92,2.17,9.090909090909104,9.0909090909091,9.090909090909092,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,SOY,542.0,528.0,6222.0,6406.0,12.71,64.45,1.02,-2.583025830258316,-2.58302583025831,-2.583025830258307,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
2025-12-19,DRYCOW,TCL,936.0,938.0,6222.0,6406.0,12.0,55.0,2.5,0.2136752136752218,0.21367521367521813,0.21367521367521675,-0.14946842152212417,-0.6725896949964817,0.8963130173062738
